song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,id,uri,track_href,analysis_url,external_urls
Centro comercial,Lendakaris Muertos,0.5,0.981,9,-1.788,0,0.111,0.00613,0.0,0.332,0.532,160.022,117400,4,audio_features,2XUmwt9j359kzGda9akoUx,spotify:track:2XUmwt9j359kzGda9akoUx,https://api.spotify.com/v1/tracks/2XUmwt9j359kzGda9akoUx,https://api.spotify.com/v1/audio-analysis/2XUmwt9j359kzGda9akoUx,{'spotify': 'https://open.spotify.com/track/2XUmwt9j359kzGda9akoUx'}
Bobo a Bordo,Lendakaris Muertos,0.337,0.976,5,-4.342,1,0.0901,0.000239,0.00166,0.376,0.766,184.951,123947,4,audio_features,16FRS2JNQA1w5t6vL3PXxB,spotify:track:16FRS2JNQA1w5t6vL3PXxB,https://api.spotify.com/v1/tracks/16FRS2JNQA1w5t6vL3PXxB,https://api.spotify.com/v1/audio-analysis/16FRS2JNQA1w5t6vL3PXxB,{'spotify': 'https://open.spotify.com/track/16FRS2JNQA1w5t6vL3PXxB'}
Gora España,Lendakaris Muertos,0.432,0.986,9,-1.842,0,0.17,0.0227,0.0,0.251,0.236,151.788,126547,4,audio_features,5ED0nQYEQNtvBzVX5XSTnG,spotify:track:5ED0nQYEQNtvBzVX5XSTnG,https://api.spotify.com/v1/tracks/5ED0nQYEQNtvBzVX5XSTnG,https://api.spotify.com/v1/audio-analysis/5ED0nQYEQNtvBzVX5XSTnG,{'spotify': 'https://open.spotify.com/track/5ED0nQYEQNtvBzVX5XSTnG'}
Veteranos de la kale borroka,Lendakaris Muertos,0.533,0.95,9,-2.565,0,0.135,0.00417,0.0,0.125,0.416,152.073,120800,4,audio_features,4yhIzKWOlAbO1z80i7cwfJ,spotify:track:4yhIzKWOlAbO1z80i7cwfJ,https://api.spotify.com/v1/tracks/4yhIzKWOlAbO1z80i7cwfJ,https://api.spotify.com/v1/audio-analysis/4yhIzKWOlAbO1z80i7cwfJ,{'spotify': 'https://open.spotify.com/track/4yhIzKWOlAbO1z80i7cwfJ'}
"Eta, deja alguna discoteca",Lendakaris Muertos,0.419,0.893,7,-3.473,1,0.0767,0.00445,4.43e-05,0.496,0.545,185.132,78427,3,audio_features,605f6PfI02sqcgD2q5hK8L,spotify:track:605f6PfI02sqcgD2q5hK8L,https://api.spotify.com/v1/tracks/605f6PfI02sqcgD2q5hK8L,https://api.spotify.com/v1/audio-analysis/605f6PfI02sqcgD2q5hK8L,{'spotify': 'https://open.spotify.com/track/605f6PfI02sqcgD2q5hK8L'}
Salgo a la Calle,Elektroduendes,0.27,0.892,4,-7.933,1,0.0677,0.0116,1.3e-06,0.205,0.508,167.14,247629,4,audio_features,3KOep0HeA6PxeoLT4I4Ixx,spotify:track:3KOep0HeA6PxeoLT4I4Ixx,https://api.spotify.com/v1/tracks/3KOep0HeA6PxeoLT4I4Ixx,https://api.spotify.com/v1/audio-analysis/3KOep0HeA6PxeoLT4I4Ixx,{'spotify': 'https://open.spotify.com/track/3KOep0HeA6PxeoLT4I4Ixx'}
Armas de Destrucción,Elektroduendes,0.452,0.94,2,-7.563,0,0.0415,0.00279,0.00125,0.0634,0.771,112.673,228716,4,audio_features,6Fuz8QFrm77XJFgY3JCS2m,spotify:track:6Fuz8QFrm77XJFgY3JCS2m,https://api.spotify.com/v1/tracks/6Fuz8QFrm77XJFgY3JCS2m,https://api.spotify.com/v1/audio-analysis/6Fuz8QFrm77XJFgY3JCS2m,{'spotify': 'https://open.spotify.com/track/6Fuz8QFrm77XJFgY3JCS2m'}
Piensa y Lucha II,Elektroduendes,0.226,0.949,9,-7.059,1,0.0882,0.016,0.697,0.315,0.697,166.398,133735,4,audio_features,5foiWJoSSvtwpCyzqaULAA,spotify:track:5foiWJoSSvtwpCyzqaULAA,https://api.spotify.com/v1/tracks/5foiWJoSSvtwpCyzqaULAA,https://api.spotify.com/v1/audio-analysis/5foiWJoSSvtwpCyzqaULAA,{'spotify': 'https://open.spotify.com/track/5foiWJoSSvtwpCyzqaULAA'}
Te Vigilan,Elektroduendes,0.235,0.911,7,-7.66,1,0.0911,0.00479,0.000433,0.058,0.646,166.913,252920,4,audio_features,5aqmaAinCdVb5zkoevXvRX,spotify:track:5aqmaAinCdVb5zkoevXvRX,https://api.spotify.com/v1/tracks/5aqmaAinCdVb5zkoevXvRX,https://api.spotify.com/v1/audio-analysis/5aqmaAinCdVb5zkoevXvRX,{'spotify': 'https://open.spotify.com/track/5aqmaAinCdVb5zkoevXvRX'}
Ahora Me Importa una Mierda,Arpaviejas,0.271,0.925,0,-7.197,1,0.0695,0.000567,0.0,0.14,0.612,79.638,237061,4,audio_features,4ii0z7sM4GNXOGVaGujCT9,spotify:track:4ii0z7sM4GNXOGVaGujCT9,https://api.spotify.com/v1/tracks/4ii0z7sM4GNXOGVaGujCT9,https://api.spotify.com/v1/audio-analysis/4ii0z7sM4GNXOGVaGujCT9,{'spotify': 'https://open.spotify.com/track/4ii0z7sM4GNXOGVaGujCT9'}
El Mesías,Arpaviejas,0.537,0.78,5,-7.395,1,0.0369,0.000764,0.0,0.485,0.855,100.132,193123,4,audio_features,6XhGmdyd3lJUJyUGaAuCqD,spotify:track:6XhGmdyd3lJUJyUGaAuCqD,https://api.spotify.com/v1/tracks/6XhGmdyd3lJUJyUGaAuCqD,https://api.spotify.com/v1/audio-analysis/6XhGmdyd3lJUJyUGaAuCqD,{'spotify': 'https://open.spotify.com/track/6XhGmdyd3lJUJyUGaAuCqD'}
Llaman,Arpaviejas,0.416,0.861,0,-7.702,1,0.0434,0.00011,3.04e-05,0.139,0.591,100.937,159242,4,audio_features,3s9s0LePheUcRgXsDdRr37,spotify:track:3s9s0LePheUcRgXsDdRr37,https://api.spotify.com/v1/tracks/3s9s0LePheUcRgXsDdRr37,https://api.spotify.com/v1/audio-analysis/3s9s0LePheUcRgXsDdRr37,{'spotify': 'https://open.spotify.com/track/3s9s0LePheUcRgXsDdRr37'}
La Jaula,Arpaviejas,0.222,0.966,7,-7.344,0,0.0721,0.000112,0.0,0.449,0.653,163.667,172983,4,audio_features,14lUc4Rgd52pQiL6uKKtl4,spotify:track:14lUc4Rgd52pQiL6uKKtl4,https://api.spotify.com/v1/tracks/14lUc4Rgd52pQiL6uKKtl4,https://api.spotify.com/v1/audio-analysis/14lUc4Rgd52pQiL6uKKtl4,{'spotify': 'https://open.spotify.com/track/14lUc4Rgd52pQiL6uKKtl4'}
Jimmy Jazz,Kortatu,0.469,0.749,1,-11.2,1,0.296,0.342,0.000341,0.096,0.586,95.057,127480,4,audio_features,5JU3KxDurO5jxRS6oXDKFN,spotify:track:5JU3KxDurO5jxRS6oXDKFN,https://api.spotify.com/v1/tracks/5JU3KxDurO5jxRS6oXDKFN,https://api.spotify.com/v1/audio-analysis/5JU3KxDurO5jxRS6oXDKFN,{'spotify': 'https://open.spotify.com/track/5JU3KxDurO5jxRS6oXDKFN'}
