song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,id,uri,track_href,analysis_url,external_urls
Todo por la Napia,Siniestro Total,0.562,0.875,6,-7.787,0,0.056,0.132,0.0,0.358,0.671,134.878,204640,4,audio_features,0SBii7Bkbi5I39N5oXsAbV,spotify:track:0SBii7Bkbi5I39N5oXsAbV,https://api.spotify.com/v1/tracks/0SBii7Bkbi5I39N5oXsAbV,https://api.spotify.com/v1/audio-analysis/0SBii7Bkbi5I39N5oXsAbV,{'spotify': 'https://open.spotify.com/track/0SBii7Bkbi5I39N5oXsAbV'}
Camino de la Cama,Siniestro Total,0.401,0.889,2,-7.545,1,0.0432,0.126,0.0,0.353,0.834,162.72,209067,4,audio_features,6HqDDNH7e0LpomWf2PMsuV,spotify:track:6HqDDNH7e0LpomWf2PMsuV,https://api.spotify.com/v1/tracks/6HqDDNH7e0LpomWf2PMsuV,https://api.spotify.com/v1/audio-analysis/6HqDDNH7e0LpomWf2PMsuV,{'spotify': 'https://open.spotify.com/track/6HqDDNH7e0LpomWf2PMsuV'}
Esclavos del Siglo XXI,Gatillazo,0.486,0.968,9,-5.862,1,0.0559,0.000174,0.0,0.318,0.409,102.017,159827,4,audio_features,0tk6HwFFBSkbrn8sGKaZgq,spotify:track:0tk6HwFFBSkbrn8sGKaZgq,https://api.spotify.com/v1/tracks/0tk6HwFFBSkbrn8sGKaZgq,https://api.spotify.com/v1/audio-analysis/0tk6HwFFBSkbrn8sGKaZgq,{'spotify': 'https://open.spotify.com/track/0tk6HwFFBSkbrn8sGKaZgq'}
Cómo Convertirse en Nada,Gatillazo,0.422,0.975,7,-3.535,1,0.0678,2.02e-05,0.0637,0.336,0.331,92.001,160253,4,audio_features,7bZfAk1tgSGyIfpQZfOj3A,spotify:track:7bZfAk1tgSGyIfpQZfOj3A,https://api.spotify.com/v1/tracks/7bZfAk1tgSGyIfpQZfOj3A,https://api.spotify.com/v1/audio-analysis/7bZfAk1tgSGyIfpQZfOj3A,{'spotify': 'https://open.spotify.com/track/7bZfAk1tgSGyIfpQZfOj3A'}
Mucha Muerte,Gatillazo,0.399,0.963,7,-3.276,1,0.0627,1.11e-05,4.53e-06,0.286,0.691,166.03,157360,4,audio_features,0tFCWJO9QwwOf5gtXnkoYt,spotify:track:0tFCWJO9QwwOf5gtXnkoYt,https://api.spotify.com/v1/tracks/0tFCWJO9QwwOf5gtXnkoYt,https://api.spotify.com/v1/audio-analysis/0tFCWJO9QwwOf5gtXnkoYt,{'spotify': 'https://open.spotify.com/track/0tFCWJO9QwwOf5gtXnkoYt'}
La Última Patada,Gatillazo,0.441,0.966,9,-5.821,1,0.0486,0.00128,0.0,0.356,0.311,149.927,192800,4,audio_features,0QobiDnqGnnbbW8Duu9j90,spotify:track:0QobiDnqGnnbbW8Duu9j90,https://api.spotify.com/v1/tracks/0QobiDnqGnnbbW8Duu9j90,https://api.spotify.com/v1/audio-analysis/0QobiDnqGnnbbW8Duu9j90,{'spotify': 'https://open.spotify.com/track/0QobiDnqGnnbbW8Duu9j90'}
Ponte Wapa,The Meas,0.386,0.946,11,-5.053,0,0.123,0.00775,6.21e-05,0.204,0.478,159.917,116707,4,audio_features,780yIjem9WPybCTotzOQA1,spotify:track:780yIjem9WPybCTotzOQA1,https://api.spotify.com/v1/tracks/780yIjem9WPybCTotzOQA1,https://api.spotify.com/v1/audio-analysis/780yIjem9WPybCTotzOQA1,{'spotify': 'https://open.spotify.com/track/780yIjem9WPybCTotzOQA1'}
Come Libertad,The Kagas,0.566,0.927,2,-5.604,1,0.0484,0.064,0.0,0.0799,0.744,94.906,160067,4,audio_features,5xF3Co2jQwbQTzjrWxpyi8,spotify:track:5xF3Co2jQwbQTzjrWxpyi8,https://api.spotify.com/v1/tracks/5xF3Co2jQwbQTzjrWxpyi8,https://api.spotify.com/v1/audio-analysis/5xF3Co2jQwbQTzjrWxpyi8,{'spotify': 'https://open.spotify.com/track/5xF3Co2jQwbQTzjrWxpyi8'}
Chanquete Ha Muerto,Mama Ladilla,0.633,0.781,2,-8.915,1,0.253,0.258,9.1e-05,0.415,0.364,109.896,143067,4,audio_features,2V270ly9CwPcky10zyrcUo,spotify:track:2V270ly9CwPcky10zyrcUo,https://api.spotify.com/v1/tracks/2V270ly9CwPcky10zyrcUo,https://api.spotify.com/v1/audio-analysis/2V270ly9CwPcky10zyrcUo,{'spotify': 'https://open.spotify.com/track/2V270ly9CwPcky10zyrcUo'}
El Amor No Tiene Edad,Mama Ladilla,0.459,0.855,11,-8.885,1,0.0745,0.000205,0.00259,0.152,0.784,167.896,132467,4,audio_features,1T0TFDXKlCCSBvvyHUr1uI,spotify:track:1T0TFDXKlCCSBvvyHUr1uI,https://api.spotify.com/v1/tracks/1T0TFDXKlCCSBvvyHUr1uI,https://api.spotify.com/v1/audio-analysis/1T0TFDXKlCCSBvvyHUr1uI,{'spotify': 'https://open.spotify.com/track/1T0TFDXKlCCSBvvyHUr1uI'}
No para Ti,Mama Ladilla,0.634,0.814,0,-7.143,1,0.0728,0.18,7.97e-06,0.11,0.625,122.932,222245,4,audio_features,0td9Hfz1nYZ35txNbze35Y,spotify:track:0td9Hfz1nYZ35txNbze35Y,https://api.spotify.com/v1/tracks/0td9Hfz1nYZ35txNbze35Y,https://api.spotify.com/v1/audio-analysis/0td9Hfz1nYZ35txNbze35Y,{'spotify': 'https://open.spotify.com/track/0td9Hfz1nYZ35txNbze35Y'}
"Naces, Creces, Te Jodes y Mueres",Mama Ladilla,0.443,0.904,9,-7.744,1,0.0483,0.0242,0.0,0.25,0.598,169.89,128524,4,audio_features,69IDs9wpSqSnr0rHUrBGMl,spotify:track:69IDs9wpSqSnr0rHUrBGMl,https://api.spotify.com/v1/tracks/69IDs9wpSqSnr0rHUrBGMl,https://api.spotify.com/v1/audio-analysis/69IDs9wpSqSnr0rHUrBGMl,{'spotify': 'https://open.spotify.com/track/69IDs9wpSqSnr0rHUrBGMl'}
El Espiritu Oi!,Non Servium,0.288,0.956,4,-4.824,1,0.0853,0.000373,0.0,0.328,0.317,90.889,313933,4,audio_features,3PxT7mpBfBBLTFBqPbaV9T,spotify:track:3PxT7mpBfBBLTFBqPbaV9T,https://api.spotify.com/v1/tracks/3PxT7mpBfBBLTFBqPbaV9T,https://api.spotify.com/v1/audio-analysis/3PxT7mpBfBBLTFBqPbaV9T,{'spotify': 'https://open.spotify.com/track/3PxT7mpBfBBLTFBqPbaV9T'}
Animal,Non Servium,0.291,0.904,4,-5.14,0,0.0476,0.00103,0.0,0.126,0.169,123.805,398107,4,audio_features,7f1YkJvIMeAC95kNgdzZ3n,spotify:track:7f1YkJvIMeAC95kNgdzZ3n,https://api.spotify.com/v1/tracks/7f1YkJvIMeAC95kNgdzZ3n,https://api.spotify.com/v1/audio-analysis/7f1YkJvIMeAC95kNgdzZ3n,{'spotify': 'https://open.spotify.com/track/7f1YkJvIMeAC95kNgdzZ3n'}
Intenta Disfrutar,Non Servium,0.174,0.968,9,-1.79,1,0.0708,7.14e-05,1.32e-05,0.314,0.379,99.346,236560,4,audio_features,1CyHLYzot3MSPqM0q6J8Km,spotify:track:1CyHLYzot3MSPqM0q6J8Km,https://api.spotify.com/v1/tracks/1CyHLYzot3MSPqM0q6J8Km,https://api.spotify.com/v1/audio-analysis/1CyHLYzot3MSPqM0q6J8Km,{'spotify': 'https://open.spotify.com/track/1CyHLYzot3MSPqM0q6J8Km'}
Pandilleros,Kaos Urbano,0.354,0.973,9,-3.18,1,0.222,0.000102,0.0,0.37,0.36,165.794,177120,4,audio_features,4Y5xtGR44TTrJ2MvjmYr0I,spotify:track:4Y5xtGR44TTrJ2MvjmYr0I,https://api.spotify.com/v1/tracks/4Y5xtGR44TTrJ2MvjmYr0I,https://api.spotify.com/v1/audio-analysis/4Y5xtGR44TTrJ2MvjmYr0I,{'spotify': 'https://open.spotify.com/track/4Y5xtGR44TTrJ2MvjmYr0I'}
Por Volverte a Ver,Kaos Urbano,0.203,0.925,2,-2.793,1,0.0743,1.33e-05,0.0823,0.208,0.352,123.528,210680,4,audio_features,0UlAiBK2lvY6NP3MbWS9E1,spotify:track:0UlAiBK2lvY6NP3MbWS9E1,https://api.spotify.com/v1/tracks/0UlAiBK2lvY6NP3MbWS9E1,https://api.spotify.com/v1/audio-analysis/0UlAiBK2lvY6NP3MbWS9E1,{'spotify': 'https://open.spotify.com/track/0UlAiBK2lvY6NP3MbWS9E1'}
Años Salvajes,Kaos Urbano,0.286,0.901,2,-3.195,1,0.0512,0.0014,2.23e-05,0.366,0.575,111.266,178613,4,audio_features,0AdkbiB9IlOpGAvRoGfG5V,spotify:track:0AdkbiB9IlOpGAvRoGfG5V,https://api.spotify.com/v1/tracks/0AdkbiB9IlOpGAvRoGfG5V,https://api.spotify.com/v1/audio-analysis/0AdkbiB9IlOpGAvRoGfG5V,{'spotify': 'https://open.spotify.com/track/0AdkbiB9IlOpGAvRoGfG5V'}
El Gato Lopez,Ska-P,0.605,0.989,0,-1.68,1,0.0901,0.069,0.0,0.33,0.727,110.103,160627,4,audio_features,6oytv9amMEx3pxSw9UmEtv,spotify:track:6oytv9amMEx3pxSw9UmEtv,https://api.spotify.com/v1/tracks/6oytv9amMEx3pxSw9UmEtv,https://api.spotify.com/v1/audio-analysis/6oytv9amMEx3pxSw9UmEtv,{'spotify': 'https://open.spotify.com/track/6oytv9amMEx3pxSw9UmEtv'}
Mis Colegas,Ska-P,0.532,0.96,7,-2.188,1,0.0487,0.00151,5.29e-06,0.0639,0.689,163.841,251440,4,audio_features,0p3rxgmQPN5y6QEMzliGZc,spotify:track:0p3rxgmQPN5y6QEMzliGZc,https://api.spotify.com/v1/tracks/0p3rxgmQPN5y6QEMzliGZc,https://api.spotify.com/v1/audio-analysis/0p3rxgmQPN5y6QEMzliGZc,{'spotify': 'https://open.spotify.com/track/0p3rxgmQPN5y6QEMzliGZc'}
El Vals del Obrero,Ska-P,0.505,0.835,5,-5.524,1,0.0685,0.0418,1.12e-06,0.171,0.674,102.097,277933,4,audio_features,4UjqoyfmarLo3Ub3LE19eC,spotify:track:4UjqoyfmarLo3Ub3LE19eC,https://api.spotify.com/v1/tracks/4UjqoyfmarLo3Ub3LE19eC,https://api.spotify.com/v1/audio-analysis/4UjqoyfmarLo3Ub3LE19eC,{'spotify': 'https://open.spotify.com/track/4UjqoyfmarLo3Ub3LE19eC'}
Consumo Gusto,Ska-P,0.558,0.942,5,-3.832,1,0.0954,0.00105,0.00731,0.134,0.865,152.101,238427,4,audio_features,0sNwv0cBkQCtvAfjzJZbQ8,spotify:track:0sNwv0cBkQCtvAfjzJZbQ8,https://api.spotify.com/v1/tracks/0sNwv0cBkQCtvAfjzJZbQ8,https://api.spotify.com/v1/audio-analysis/0sNwv0cBkQCtvAfjzJZbQ8,{'spotify': 'https://open.spotify.com/track/0sNwv0cBkQCtvAfjzJZbQ8'}
Daños Colaterales,Envidia Kotxina,0.479,0.977,0,-2.881,1,0.055,0.022,1.13e-05,0.576,0.93,189.99,163841,4,audio_features,3jIPaxrkvtUkbCusj7cAIM,spotify:track:3jIPaxrkvtUkbCusj7cAIM,https://api.spotify.com/v1/tracks/3jIPaxrkvtUkbCusj7cAIM,https://api.spotify.com/v1/audio-analysis/3jIPaxrkvtUkbCusj7cAIM,{'spotify': 'https://open.spotify.com/track/3jIPaxrkvtUkbCusj7cAIM'}
Estado Policial,Envidia Kotxina,0.397,0.899,2,-9.187,1,0.077,0.000507,0.0,0.0587,0.726,149.137,115813,4,audio_features,4Pm4iu6GLyOBcXG6P2hwyZ,spotify:track:4Pm4iu6GLyOBcXG6P2hwyZ,https://api.spotify.com/v1/tracks/4Pm4iu6GLyOBcXG6P2hwyZ,https://api.spotify.com/v1/audio-analysis/4Pm4iu6GLyOBcXG6P2hwyZ,{'spotify': 'https://open.spotify.com/track/4Pm4iu6GLyOBcXG6P2hwyZ'}
Kampos de Exterminio,Envidia Kotxina,0.346,0.799,11,-9.914,0,0.0781,0.000434,0.0,0.194,0.552,110.363,126347,4,audio_features,5MwFI7qHsFoZ1eeqs6QTzF,spotify:track:5MwFI7qHsFoZ1eeqs6QTzF,https://api.spotify.com/v1/tracks/5MwFI7qHsFoZ1eeqs6QTzF,https://api.spotify.com/v1/audio-analysis/5MwFI7qHsFoZ1eeqs6QTzF,{'spotify': 'https://open.spotify.com/track/5MwFI7qHsFoZ1eeqs6QTzF'}
No Puedo Konsentir,Envidia Kotxina,0.27,0.847,2,-9.006,1,0.119,0.0013,1e-06,0.214,0.708,154.932,116307,4,audio_features,5kDF6fm61F6PRNhErRxstK,spotify:track:5kDF6fm61F6PRNhErRxstK,https://api.spotify.com/v1/tracks/5kDF6fm61F6PRNhErRxstK,https://api.spotify.com/v1/audio-analysis/5kDF6fm61F6PRNhErRxstK,{'spotify': 'https://open.spotify.com/track/5kDF6fm61F6PRNhErRxstK'}
Rompiste a Gritar,Kutxillo,0.648,0.726,7,-9.699,1,0.115,0.0137,0.0,0.155,0.572,95.957,180000,4,audio_features,3sKHQsHAg4ItYgGrSTxZWk,spotify:track:3sKHQsHAg4ItYgGrSTxZWk,https://api.spotify.com/v1/tracks/3sKHQsHAg4ItYgGrSTxZWk,https://api.spotify.com/v1/audio-analysis/3sKHQsHAg4ItYgGrSTxZWk,{'spotify': 'https://open.spotify.com/track/3sKHQsHAg4ItYgGrSTxZWk'}
Lo Que Nos Queda,Javi Chispes,0.351,0.897,8,-7.345,1,0.0468,0.000709,0.00288,0.237,0.537,179.99,208666,4,audio_features,4b7HkJU5yJXvC3rcFDnEin,spotify:track:4b7HkJU5yJXvC3rcFDnEin,https://api.spotify.com/v1/tracks/4b7HkJU5yJXvC3rcFDnEin,https://api.spotify.com/v1/audio-analysis/4b7HkJU5yJXvC3rcFDnEin,{'spotify': 'https://open.spotify.com/track/4b7HkJU5yJXvC3rcFDnEin'}
Colr De Corazón,Maniatica,0.517,0.832,1,-6.076,1,0.0361,0.00648,0.000278,0.0549,0.617,109.903,263667,4,audio_features,4NCmICH60NZgazDOrUFRPh,spotify:track:4NCmICH60NZgazDOrUFRPh,https://api.spotify.com/v1/tracks/4NCmICH60NZgazDOrUFRPh,https://api.spotify.com/v1/audio-analysis/4NCmICH60NZgazDOrUFRPh,{'spotify': 'https://open.spotify.com/track/4NCmICH60NZgazDOrUFRPh'}
Entre Los Barrotes,Maniatica,0.451,0.894,1,-4.699,1,0.0739,0.0261,8.57e-05,0.038,0.464,109.674,191907,4,audio_features,2YpEThXMuJJOgRBMgWZIAG,spotify:track:2YpEThXMuJJOgRBMgWZIAG,https://api.spotify.com/v1/tracks/2YpEThXMuJJOgRBMgWZIAG,https://api.spotify.com/v1/audio-analysis/2YpEThXMuJJOgRBMgWZIAG,{'spotify': 'https://open.spotify.com/track/2YpEThXMuJJOgRBMgWZIAG'}
Poder,Maniatica,0.572,0.661,5,-6.453,0,0.0277,0.000641,0.000267,0.0905,0.677,105.992,280120,4,audio_features,7rjGjtjFM9gJKZs697fP0o,spotify:track:7rjGjtjFM9gJKZs697fP0o,https://api.spotify.com/v1/tracks/7rjGjtjFM9gJKZs697fP0o,https://api.spotify.com/v1/audio-analysis/7rjGjtjFM9gJKZs697fP0o,{'spotify': 'https://open.spotify.com/track/7rjGjtjFM9gJKZs697fP0o'}
Pepino,Maniatica,0.672,0.53,2,-8.458,0,0.32,0.045,1.12e-06,0.079,0.896,100.762,163436,4,audio_features,6PxdsSIsgimQ6lF5e1SKXz,spotify:track:6PxdsSIsgimQ6lF5e1SKXz,https://api.spotify.com/v1/tracks/6PxdsSIsgimQ6lF5e1SKXz,https://api.spotify.com/v1/audio-analysis/6PxdsSIsgimQ6lF5e1SKXz,{'spotify': 'https://open.spotify.com/track/6PxdsSIsgimQ6lF5e1SKXz'}
Paga Papa,Sin Dios,0.354,0.903,9,-7.889,1,0.07,0.00051,0.0304,0.331,0.384,95.633,173560,4,audio_features,5x8LXtwvQyTCyB0lkNqm0I,spotify:track:5x8LXtwvQyTCyB0lkNqm0I,https://api.spotify.com/v1/tracks/5x8LXtwvQyTCyB0lkNqm0I,https://api.spotify.com/v1/audio-analysis/5x8LXtwvQyTCyB0lkNqm0I,{'spotify': 'https://open.spotify.com/track/5x8LXtwvQyTCyB0lkNqm0I'}
Ingobernables,Sin Dios,0.505,0.91,0,-5.18,1,0.0376,0.00677,0.00894,0.0639,0.843,138.327,143773,4,audio_features,6LIYAz9F18XqzI1AY7RNtS,spotify:track:6LIYAz9F18XqzI1AY7RNtS,https://api.spotify.com/v1/tracks/6LIYAz9F18XqzI1AY7RNtS,https://api.spotify.com/v1/audio-analysis/6LIYAz9F18XqzI1AY7RNtS,{'spotify': 'https://open.spotify.com/track/6LIYAz9F18XqzI1AY7RNtS'}
Banderas Negras,Sin Dios,0.337,0.971,2,-6.204,1,0.0772,0.000714,0.00133,0.067,0.414,159.854,126333,4,audio_features,5gblzd8dHI21bSrLUBlKPR,spotify:track:5gblzd8dHI21bSrLUBlKPR,https://api.spotify.com/v1/tracks/5gblzd8dHI21bSrLUBlKPR,https://api.spotify.com/v1/audio-analysis/5gblzd8dHI21bSrLUBlKPR,{'spotify': 'https://open.spotify.com/track/5gblzd8dHI21bSrLUBlKPR'}
Cancion de Amor (Celda de Aislamiento),Sin Dios,0.361,0.962,0,-4.719,0,0.127,0.000164,3.51e-06,0.252,0.37,99.392,182547,4,audio_features,1jzzq1EHSEpAk1LOgIn464,spotify:track:1jzzq1EHSEpAk1LOgIn464,https://api.spotify.com/v1/tracks/1jzzq1EHSEpAk1LOgIn464,https://api.spotify.com/v1/audio-analysis/1jzzq1EHSEpAk1LOgIn464,{'spotify': 'https://open.spotify.com/track/1jzzq1EHSEpAk1LOgIn464'}
Estamos fracasando,Rotura,0.385,0.97,1,-3.314,0,0.0872,0.0012,0.000256,0.0382,0.36,107.84,112385,4,audio_features,6fqaLDh7dYThd0Z6HGT30r,spotify:track:6fqaLDh7dYThd0Z6HGT30r,https://api.spotify.com/v1/tracks/6fqaLDh7dYThd0Z6HGT30r,https://api.spotify.com/v1/audio-analysis/6fqaLDh7dYThd0Z6HGT30r,{'spotify': 'https://open.spotify.com/track/6fqaLDh7dYThd0Z6HGT30r'}
Palabras,Rotura,0.0958,0.958,2,-3.42,1,0.131,0.000207,0.0107,0.199,0.302,201.857,204893,4,audio_features,09vIu2RZLvbIDYUL1sczXy,spotify:track:09vIu2RZLvbIDYUL1sczXy,https://api.spotify.com/v1/tracks/09vIu2RZLvbIDYUL1sczXy,https://api.spotify.com/v1/audio-analysis/09vIu2RZLvbIDYUL1sczXy,{'spotify': 'https://open.spotify.com/track/09vIu2RZLvbIDYUL1sczXy'}
Siluetas vacías,Rotura,0.356,0.974,9,-2.754,1,0.0733,0.00251,0.111,0.057,0.437,103.439,169691,4,audio_features,7MQOPC5K32UKOkQ49UcQaB,spotify:track:7MQOPC5K32UKOkQ49UcQaB,https://api.spotify.com/v1/tracks/7MQOPC5K32UKOkQ49UcQaB,https://api.spotify.com/v1/audio-analysis/7MQOPC5K32UKOkQ49UcQaB,{'spotify': 'https://open.spotify.com/track/7MQOPC5K32UKOkQ49UcQaB'}
Recuerdos,Rotura,0.336,0.919,5,-4.158,1,0.0804,0.000655,0.0625,0.355,0.446,100.452,161460,4,audio_features,2Rx6DR2O5aHtHyJ1QxmbAg,spotify:track:2Rx6DR2O5aHtHyJ1QxmbAg,https://api.spotify.com/v1/tracks/2Rx6DR2O5aHtHyJ1QxmbAg,https://api.spotify.com/v1/audio-analysis/2Rx6DR2O5aHtHyJ1QxmbAg,{'spotify': 'https://open.spotify.com/track/2Rx6DR2O5aHtHyJ1QxmbAg'}
Lakra Social,Animales Muertos,0.483,0.986,0,-10.666,1,0.318,0.00115,0.0,0.126,0.216,161.607,113124,3,audio_features,5kUtoNv65BbTF777Nq6HiF,spotify:track:5kUtoNv65BbTF777Nq6HiF,https://api.spotify.com/v1/tracks/5kUtoNv65BbTF777Nq6HiF,https://api.spotify.com/v1/audio-analysis/5kUtoNv65BbTF777Nq6HiF,{'spotify': 'https://open.spotify.com/track/5kUtoNv65BbTF777Nq6HiF'}
Nosotros Somos la Venganza,Animales Muertos,0.523,0.946,0,-11.494,1,0.0593,8.74e-05,0.000766,0.0374,0.495,167.641,155312,4,audio_features,1UZiZgWMqnxWjpyYmCP87w,spotify:track:1UZiZgWMqnxWjpyYmCP87w,https://api.spotify.com/v1/tracks/1UZiZgWMqnxWjpyYmCP87w,https://api.spotify.com/v1/audio-analysis/1UZiZgWMqnxWjpyYmCP87w,{'spotify': 'https://open.spotify.com/track/1UZiZgWMqnxWjpyYmCP87w'}
Animales Muertos,Animales Muertos,0.453,0.987,2,-11.146,1,0.0688,0.000345,0.0,0.0403,0.545,165.48,79348,4,audio_features,1ghECCrR8QXLwIWT70k0gH,spotify:track:1ghECCrR8QXLwIWT70k0gH,https://api.spotify.com/v1/tracks/1ghECCrR8QXLwIWT70k0gH,https://api.spotify.com/v1/audio-analysis/1ghECCrR8QXLwIWT70k0gH,{'spotify': 'https://open.spotify.com/track/1ghECCrR8QXLwIWT70k0gH'}
Borregos,Gérmenes,0.377,0.985,0,-3.518,1,0.142,0.0397,0.0,0.475,0.633,166.383,123159,4,audio_features,6i4rbLR7eblVntTGcnXgIa,spotify:track:6i4rbLR7eblVntTGcnXgIa,https://api.spotify.com/v1/tracks/6i4rbLR7eblVntTGcnXgIa,https://api.spotify.com/v1/audio-analysis/6i4rbLR7eblVntTGcnXgIa,{'spotify': 'https://open.spotify.com/track/6i4rbLR7eblVntTGcnXgIa'}
Cual cultura,Gérmenes,0.392,0.98,2,-4.01,1,0.0745,0.00925,0.00439,0.916,0.66,169.038,275342,4,audio_features,2RYiMg8Xo27eZPHXmJJYIE,spotify:track:2RYiMg8Xo27eZPHXmJJYIE,https://api.spotify.com/v1/tracks/2RYiMg8Xo27eZPHXmJJYIE,https://api.spotify.com/v1/audio-analysis/2RYiMg8Xo27eZPHXmJJYIE,{'spotify': 'https://open.spotify.com/track/2RYiMg8Xo27eZPHXmJJYIE'}
20 K. en la espalda,Gérmenes,0.547,0.888,7,-5.119,1,0.0678,0.0126,0.0243,0.0777,0.581,147.488,139645,4,audio_features,6woiPVewbswbK2x1UKT9st,spotify:track:6woiPVewbswbK2x1UKT9st,https://api.spotify.com/v1/tracks/6woiPVewbswbK2x1UKT9st,https://api.spotify.com/v1/audio-analysis/6woiPVewbswbK2x1UKT9st,{'spotify': 'https://open.spotify.com/track/6woiPVewbswbK2x1UKT9st'}
Otra vez en tus manos,Gérmenes,0.628,0.791,8,-10.733,1,0.0817,0.00665,0.000221,0.379,0.828,93.915,153320,4,audio_features,0rkA6mYXcoAkrJ995LMQnC,spotify:track:0rkA6mYXcoAkrJ995LMQnC,https://api.spotify.com/v1/tracks/0rkA6mYXcoAkrJ995LMQnC,https://api.spotify.com/v1/audio-analysis/0rkA6mYXcoAkrJ995LMQnC,{'spotify': 'https://open.spotify.com/track/0rkA6mYXcoAkrJ995LMQnC'}
Barrenkalle,M.C.D.,0.493,0.904,2,-10.358,1,0.0365,0.00608,0.000245,0.118,0.777,102.926,202153,4,audio_features,6o3z506BT84ja6W4c3JV2D,spotify:track:6o3z506BT84ja6W4c3JV2D,https://api.spotify.com/v1/tracks/6o3z506BT84ja6W4c3JV2D,https://api.spotify.com/v1/audio-analysis/6o3z506BT84ja6W4c3JV2D,{'spotify': 'https://open.spotify.com/track/6o3z506BT84ja6W4c3JV2D'}
Entre Borrachos,M.C.D.,0.291,0.741,2,-11.649,1,0.0293,0.0264,0.0064,0.0587,0.419,99.802,227834,4,audio_features,0MWcgU61dNXl5tYUt8vZ7p,spotify:track:0MWcgU61dNXl5tYUt8vZ7p,https://api.spotify.com/v1/tracks/0MWcgU61dNXl5tYUt8vZ7p,https://api.spotify.com/v1/audio-analysis/0MWcgU61dNXl5tYUt8vZ7p,{'spotify': 'https://open.spotify.com/track/0MWcgU61dNXl5tYUt8vZ7p'}
Jódete,M.C.D.,0.314,0.947,0,-8.759,1,0.0787,0.101,0.000151,0.34,0.33,195.638,115552,4,audio_features,6su6IGboREw6V2gbviutLx,spotify:track:6su6IGboREw6V2gbviutLx,https://api.spotify.com/v1/tracks/6su6IGboREw6V2gbviutLx,https://api.spotify.com/v1/audio-analysis/6su6IGboREw6V2gbviutLx,{'spotify': 'https://open.spotify.com/track/6su6IGboREw6V2gbviutLx'}
No Hay Sitio para Ti,M.C.D.,0.454,0.943,4,-9.847,1,0.0361,0.0629,0.0,0.365,0.868,105.228,140016,4,audio_features,5BifHIqV0GWVNgAbR1BKlU,spotify:track:5BifHIqV0GWVNgAbR1BKlU,https://api.spotify.com/v1/tracks/5BifHIqV0GWVNgAbR1BKlU,https://api.spotify.com/v1/audio-analysis/5BifHIqV0GWVNgAbR1BKlU,{'spotify': 'https://open.spotify.com/track/5BifHIqV0GWVNgAbR1BKlU'}
Muerte al Burgués,Ostia Puta,0.336,0.705,2,-10.9,1,0.0293,0.000382,0.0122,0.104,0.672,97.573,204539,4,audio_features,1CBXTYVuIgonTqJNfP5FhG,spotify:track:1CBXTYVuIgonTqJNfP5FhG,https://api.spotify.com/v1/tracks/1CBXTYVuIgonTqJNfP5FhG,https://api.spotify.com/v1/audio-analysis/1CBXTYVuIgonTqJNfP5FhG,{'spotify': 'https://open.spotify.com/track/1CBXTYVuIgonTqJNfP5FhG'}
Qué Bonito es el Amor,Ostia Puta,0.354,0.934,7,-4.972,1,0.194,0.000836,0.0,0.22,0.709,109.617,105064,4,audio_features,5lg6yaIE4Wq8mpJ9HTF1m2,spotify:track:5lg6yaIE4Wq8mpJ9HTF1m2,https://api.spotify.com/v1/tracks/5lg6yaIE4Wq8mpJ9HTF1m2,https://api.spotify.com/v1/audio-analysis/5lg6yaIE4Wq8mpJ9HTF1m2,{'spotify': 'https://open.spotify.com/track/5lg6yaIE4Wq8mpJ9HTF1m2'}
Esta Vida,Ostia Puta,0.219,0.902,2,-6.472,1,0.145,0.0088,0.000166,0.315,0.502,157.94,153600,3,audio_features,5afcrvdFjK4ZRTLKn6oegJ,spotify:track:5afcrvdFjK4ZRTLKn6oegJ,https://api.spotify.com/v1/tracks/5afcrvdFjK4ZRTLKn6oegJ,https://api.spotify.com/v1/audio-analysis/5afcrvdFjK4ZRTLKn6oegJ,{'spotify': 'https://open.spotify.com/track/5afcrvdFjK4ZRTLKn6oegJ'}
De Puta Madre,Manolo Kabezabolo,0.491,0.968,11,-2.496,1,0.0459,2.85e-05,0.0295,0.106,0.838,130.626,130200,4,audio_features,3zSG4996CtNwTpvTM5plls,spotify:track:3zSG4996CtNwTpvTM5plls,https://api.spotify.com/v1/tracks/3zSG4996CtNwTpvTM5plls,https://api.spotify.com/v1/audio-analysis/3zSG4996CtNwTpvTM5plls,{'spotify': 'https://open.spotify.com/track/3zSG4996CtNwTpvTM5plls'}
Spizofrenia (Antes de las Guerras / Adiós Reina Mía / Paz - Primero la Guerra / Es un Crimen),Manolo Kabezabolo y los ke se van del Bolo,0.358,0.97,9,-4.555,1,0.15,0.262,0.000562,0.113,0.195,62.618,149267,4,audio_features,4pFLWRvTxKIzji7xgXci27,spotify:track:4pFLWRvTxKIzji7xgXci27,https://api.spotify.com/v1/tracks/4pFLWRvTxKIzji7xgXci27,https://api.spotify.com/v1/audio-analysis/4pFLWRvTxKIzji7xgXci27,{'spotify': 'https://open.spotify.com/track/4pFLWRvTxKIzji7xgXci27'}
